horse_id,horse_name,birth_date,h_sex,raza,height_m,weight_kg,length_m,max_speed_kmh,h_temperament,h_category,h_career_races,h_days_since_last_race,h_linaje,listing_id,seller_id,l_listing_status,l_asking_price_usd,l_created_at,s_first_name,s_last_name,s_verified,s_disputes,s_num_listings,s_flagged_fraud,s_created_at,s_last_active_at,vet_total_exams,vet_major_issues,vet_avg_confidence,v_exam_date,completeness,vet_score,seller_score,horse_trust_score
H278,Hour,2020-02-03,F,Cuarto de Milla,1.53,591.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,8.0,102.0,Sí,L2,S2,active,1492435.0,2025-10-09 03:56:28.458327,Christopher,Williamson,True,0.0,23.0,False,2024-10-03 16:36:29.417818,2025-01-19 05:14:20.899048,3.0,1.0,0.86,,1.0,0.6666666666666667,1.0,0.8666666666666667
H279,Staff,2017-01-18,M,Pura Raza Española,1.52,540.0,2.4,48.0,Noble / Dócil,Doma y Exhibición,16.0,,No,L1,S18,active,1501990.0,2025-12-13 03:40:50.596327,Christina,Willis,False,0.0,21.0,False,2022-07-03 06:54:10.058401,2023-12-12 20:17:13.841979,3.0,0.0,0.8666666666666667,,0.9090909090909091,1.0,0.6,0.8836363636363637
H280,Card,1996-05-12,M,Cuarto de Milla,1.44,517.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,10.0,251.0,Sí,L1,S91,active,1543270.0,2025-04-02 11:02:25.927814,Justin,Johnson,True,0.0,10.0,False,2025-01-11 13:19:43.643194,2025-03-08 08:59:12.649760,3.0,1.0,0.7866666666666666,,1.0,0.6666666666666667,1.0,0.8666666666666667
H281,Sure,2013-11-30,F,Hannoveriano,1.62,648.0,2.5,50.0,Equilibrado,Salto y Doma,11.0,143.0,Desconocido,L1,S7,active,1454048.0,2025-09-06 18:19:04.328961,Jacqueline,Smith,False,1.0,5.0,True,2022-04-07 10:20:43.585676,2025-08-28 02:54:58.937841,3.0,1.0,0.9,,1.0,0.6666666666666667,0.27,0.7206666666666668
H282,Member,2019-01-18,M,Akhal-Teke,1.53,443.0,2.3,60.0,Independiente,Resistencia,17.0,361.0,Sí,L0,S142,active,1531096.0,2025-06-19 18:36:07.498555,Cheryl,Martinez,False,0.0,18.0,False,2023-01-18 17:16:01.370430,2023-08-22 10:06:10.023797,3.0,0.0,0.85,,1.0,1.0,0.6,0.92
H283,Audience,2007-08-25,M,Cuarto de Milla,1.48,564.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,13.0,367.0,No,L0,S29,active,1490783.0,2025-06-21 11:43:57.582720,Francis,Richardson,True,2.0,16.0,False,2022-08-09 05:52:53.413509,2024-10-16 20:17:37.370012,1.0,0.0,0.99,,1.0,1.0,0.94,0.988
H284,When,2004-05-21,F,Cuarto de Milla,1.52,528.0,2.3,,Tranquilo / Sociable,Rodeo y Trabajo,14.0,75.0,No,L0,S36,sold,1515627.0,2025-02-25 18:34:42.293390,Debra,Moon,True,0.0,20.0,False,2025-06-13 10:31:38.134964,2026-02-11 22:21:39.974447,1.0,0.0,0.92,,0.9090909090909091,1.0,1.0,0.9636363636363636
H285,Sing,2020-07-30,F,Percherón,1.68,940.0,2.8,28.0,Muy calmado,Tiro pesado,14.0,,No,L1,S74,sold,1491940.0,2025-02-19 12:01:00.310074,Bruce,Perez,False,0.0,21.0,False,2025-04-09 11:09:54.565588,2025-06-26 00:44:19.858312,1.0,0.0,0.83,,0.9090909090909091,1.0,0.6,0.8836363636363637
H286,Girl,2021-12-02,M,Hannoveriano,1.65,633.0,2.5,50.0,Equilibrado,Salto y Doma,14.0,,Sí,L1,S112,withdrawn,1496776.0,2025-11-29 01:18:05.516795,Courtney,Hamilton,True,0.0,5.0,False,2022-08-14 09:39:20.673170,2023-10-05 22:39:01.577817,2.0,0.0,0.89,,0.9090909090909091,1.0,1.0,0.9636363636363636
H287,For,2014-08-12,M,Shetland (Poni),0.93,159.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,18.0,91.0,Sí,L5,S49,sold,1469333.0,2025-02-26 04:00:28.930843,Kevin,Avila,True,0.0,20.0,False,2025-03-24 18:43:29.918245,2025-12-13 07:59:41.096818,3.0,0.0,0.8466666666666667,,1.0,1.0,1.0,1.0
H288,Last,2004-08-02,M,Appaloosa,1.54,512.0,2.3,55.0,Activo / Resistente,Rutas y Western,12.0,268.0,No,L0,S161,sold,1517019.0,2025-11-22 13:16:55.467098,Amanda,Gomez,False,0.0,21.0,False,2024-11-21 19:36:50.792878,2024-12-29 03:40:12.609121,3.0,0.0,0.9366666666666666,,1.0,1.0,0.6,0.92
H289,Most,2010-04-07,F,Pura Sangre Inglés,1.65,453.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,14.0,293.0,No,L2,S149,active,1529299.0,2025-06-20 22:07:58.491643,Crystal,Gomez,True,0.0,4.0,False,2024-10-04 07:26:22.726228,2025-07-16 06:57:12.691212,2.0,0.0,0.855,,1.0,1.0,1.0,1.0
H290,West,1996-11-25,F,Akhal-Teke,1.58,467.0,2.3,60.0,Independiente,Resistencia,21.0,118.0,No,L1,S195,active,1528859.0,2025-02-19 00:54:24.239592,Angela,Donovan,True,0.0,1.0,False,2025-10-03 08:17:42.438805,2025-11-26 08:27:53.296736,3.0,0.0,0.82,,1.0,1.0,1.0,1.0
H291,History,1996-06-15,M,Pura Sangre Inglés,1.65,453.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,16.0,42.0,Desconocido,L2,S92,active,1580490.0,2025-10-02 22:24:25.723166,Mark,Carlson,True,0.0,4.0,False,2025-11-10 21:53:50.478002,2025-11-13 09:31:44.589263,2.0,0.0,0.895,,1.0,1.0,1.0,1.0
H292,Him,2011-07-10,F,Percherón,1.64,834.0,2.8,30.0,Muy calmado,Tiro pesado,10.0,380.0,No,L2,S11,active,1520900.0,2025-02-22 13:47:13.531952,Alexis,Kirby,True,0.0,18.0,False,2023-05-21 21:50:38.232193,2023-09-30 04:53:37.864402,1.0,0.0,0.95,,1.0,1.0,1.0,1.0
H293,Up,2002-07-24,F,Frisón,1.64,696.0,2.6,43.0,Manso / Dispuesto,Tiro y Cine,16.0,48.0,No,L2,S7,active,1526652.0,2025-07-05 00:44:31.962541,Jacqueline,Smith,False,1.0,5.0,True,2022-04-07 10:20:43.585676,2025-08-28 02:54:58.937841,1.0,0.0,1.0,,1.0,1.0,0.27,0.8540000000000001
H294,Finally,2013-08-18,F,Appaloosa,1.42,518.0,2.3,58.0,Activo / Resistente,Rutas y Western,10.0,277.0,Sí,L3,S50,sold,1423213.0,2026-02-03 14:34:13.285677,Evan,Freeman,True,0.0,15.0,False,2022-10-25 03:36:34.726153,2023-05-17 16:52:03.763439,1.0,0.0,0.86,,1.0,1.0,1.0,1.0
H295,Clearly,2013-06-28,F,Hannoveriano,,646.0,2.5,50.0,Equilibrado,Salto y Doma,12.0,285.0,No,L4,S50,sold,1499446.0,2025-07-25 07:58:45.424962,Evan,Freeman,True,0.0,15.0,False,2022-10-25 03:36:34.726153,2023-05-17 16:52:03.763439,2.0,0.0,0.8400000000000001,,0.9090909090909091,1.0,1.0,0.9636363636363636
H296,Themselves,1995-09-25,F,Frisón,1.63,,2.6,41.0,Manso / Dispuesto,Tiro y Cine,13.0,378.0,No,L0,S72,withdrawn,1492618.0,2025-10-01 01:52:15.045009,Jeremiah,Morgan,False,0.0,25.0,True,2022-09-26 16:05:15.426154,2024-11-14 06:30:42.321780,3.0,0.0,0.7766666666666667,,0.9090909090909091,1.0,0.3,0.8236363636363637
H297,Share,2014-06-16,M,Pura Sangre Inglés,1.62,454.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,10.0,58.0,No,L1,S44,sold,1497312.0,2025-05-09 23:54:50.672433,Donna,Brown,False,1.0,14.0,False,2024-02-03 07:53:30.577962,2025-02-08 14:04:31.289171,3.0,1.0,0.86,,1.0,0.6666666666666667,0.5700000000000001,0.7806666666666667
H298,Heavy,2019-06-18,M,Percherón,1.65,811.0,2.8,28.0,Muy calmado,Tiro pesado,19.0,231.0,Sí,L1,S56,withdrawn,1524274.0,2025-11-29 13:11:08.262691,Stephanie,Schultz,False,1.0,10.0,False,2024-12-02 06:18:07.908346,2025-03-06 11:04:56.753545,2.0,1.0,0.8,,1.0,0.5,0.5700000000000001,0.7140000000000001
H299,Carry,2000-08-15,M,Hannoveriano,,618.0,2.5,50.0,Equilibrado,Salto y Doma,12.0,126.0,Desconocido,L0,S67,active,1447230.0,2025-02-22 05:49:33.136917,Ashley,Daugherty,True,0.0,17.0,False,2023-08-26 10:50:06.282232,2024-06-20 03:05:56.627035,3.0,1.0,0.92,,0.9090909090909091,0.6666666666666667,1.0,0.8303030303030303
H300,Our,2003-01-24,F,Shetland (Poni),0.79,159.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,18.0,345.0,No,L1,S184,active,1429926.0,2025-09-27 13:48:12.612408,Leah,Shields,True,0.0,5.0,False,2023-11-16 23:50:03.414282,2024-04-06 04:02:03.494995,3.0,0.0,0.8833333333333334,,1.0,1.0,1.0,1.0
H301,Measure,2023-03-27,M,Frisón,1.66,751.0,2.6,45.0,Manso / Dispuesto,Tiro y Cine,17.0,96.0,No,L2,S44,sold,1471369.0,2026-02-05 06:58:50.631100,Donna,Brown,False,1.0,14.0,False,2024-02-03 07:53:30.577962,2025-02-08 14:04:31.289171,1.0,0.0,0.8,,1.0,1.0,0.5700000000000001,0.914
H302,Pattern,1999-04-26,M,Frisón,1.7,764.0,2.6,45.0,Manso / Dispuesto,Tiro y Cine,12.0,202.0,No,L1,S86,active,1503813.0,2025-12-06 17:25:47.351600,Betty,Vargas,True,1.0,5.0,False,2023-12-01 06:57:49.954993,2026-02-16 09:15:13.175523,3.0,0.0,0.8866666666666667,,1.0,1.0,0.97,0.994
H303,Claim,2021-03-24,M,Pura Raza Española,1.53,511.0,2.4,49.0,Noble / Dócil,Doma y Exhibición,16.0,249.0,Sí,L1,S141,active,1380354.0,2025-12-29 02:28:33.259452,Raymond,Diaz,True,0.0,17.0,False,2023-01-30 09:56:01.012915,2024-08-16 12:17:56.600408,1.0,0.0,0.71,,1.0,1.0,1.0,1.0
H304,Nor,2023-11-29,M,Hannoveriano,1.68,603.0,2.5,50.0,Equilibrado,Salto y Doma,10.0,294.0,No,L1,S62,sold,1462983.0,2025-04-09 12:17:54.238574,Mark,Nelson,True,0.0,3.0,False,2022-04-23 08:22:11.702588,2025-07-09 11:24:12.039828,3.0,0.0,0.8300000000000001,,1.0,1.0,1.0,1.0
H305,Development,1997-04-07,M,Frisón,1.64,665.0,2.6,41.0,Manso / Dispuesto,Tiro y Cine,15.0,176.0,No,L0,S45,active,1519987.0,2025-09-16 20:48:02.389370,Jason,Evans,True,0.0,18.0,False,2023-12-03 07:08:40.078673,2025-01-05 12:33:51.786307,2.0,0.0,0.7849999999999999,,1.0,1.0,1.0,1.0
H306,Most,2016-01-05,M,Percherón,,896.0,2.8,30.0,Muy calmado,Tiro pesado,22.0,316.0,No,L5,S50,withdrawn,1472410.0,2025-11-07 10:24:36.605561,Evan,Freeman,True,0.0,15.0,False,2022-10-25 03:36:34.726153,2023-05-17 16:52:03.763439,1.0,0.0,0.98,,0.9090909090909091,1.0,1.0,0.9636363636363636
H307,Country,2005-06-16,M,Cuarto de Milla,1.5,542.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,17.0,162.0,Desconocido,L1,S5,withdrawn,1527208.0,2025-04-23 18:30:57.124263,Aaron,Hall,True,1.0,23.0,False,2026-01-26 23:08:03.260471,2026-01-27 16:34:38.713163,3.0,0.0,0.89,,1.0,1.0,0.97,0.994
H308,According,2006-12-22,M,Pura Sangre Inglés,1.7,457.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,16.0,389.0,Desconocido,L1,S45,active,1518880.0,2025-08-20 10:26:04.944838,Jason,Evans,True,0.0,18.0,False,2023-12-03 07:08:40.078673,2025-01-05 12:33:51.786307,1.0,1.0,0.97,,1.0,0.0,1.0,0.6000000000000001
H309,Size,2018-01-02,M,Percherón,1.68,861.0,2.8,29.0,Muy calmado,Tiro pesado,14.0,,No,L1,S67,active,1491880.0,2025-06-28 09:38:57.747127,Ashley,Daugherty,True,0.0,17.0,False,2023-08-26 10:50:06.282232,2024-06-20 03:05:56.627035,3.0,0.0,0.8300000000000001,,0.9090909090909091,1.0,1.0,0.9636363636363636
H310,There,2014-07-14,F,Frisón,1.63,692.0,2.6,44.0,Manso / Dispuesto,Tiro y Cine,22.0,261.0,No,L1,S25,withdrawn,1455339.0,2025-06-23 02:18:08.544577,Hannah,Smith,True,0.0,3.0,False,2025-01-31 20:42:30.040134,2026-01-17 18:14:30.239148,3.0,1.0,0.86,,1.0,0.6666666666666667,1.0,0.8666666666666667
H311,Attack,2018-12-11,M,Percherón,1.67,905.0,2.8,,Muy calmado,Tiro pesado,14.0,295.0,Desconocido,L2,S5,withdrawn,1547700.0,2025-02-26 00:22:50.732947,Aaron,Hall,True,1.0,23.0,False,2026-01-26 23:08:03.260471,2026-01-27 16:34:38.713163,1.0,0.0,0.83,,0.9090909090909091,1.0,0.97,0.9576363636363636
H312,Certainly,2016-01-16,F,Árabe,1.43,375.0,2.2,57.0,Inteligente / Leal,Endurance (Raid),20.0,124.0,Sí,L4,S173,active,1510058.0,2025-03-31 15:19:17.866518,Jacob,Williams,True,1.0,21.0,False,2024-02-10 02:16:45.799519,2025-07-13 00:53:07.806057,2.0,1.0,0.8200000000000001,,1.0,0.5,0.97,0.794
H313,Raise,2002-04-15,F,Hannoveriano,1.63,631.0,2.5,50.0,Equilibrado,Salto y Doma,16.0,377.0,No,L1,S35,sold,1455098.0,2025-12-24 20:39:27.680148,Kelsey,Ramos,True,1.0,16.0,False,2023-03-11 21:45:38.227854,2023-09-24 07:25:27.910264,2.0,0.0,0.8200000000000001,,1.0,1.0,0.97,0.994
H314,Source,2013-06-02,F,Percherón,1.63,984.0,2.8,29.0,Muy calmado,Tiro pesado,7.0,257.0,Sí,L1,S97,active,1553659.0,2026-01-24 05:05:54.632229,Krista,Greene,True,0.0,24.0,False,2025-01-12 22:12:30.731023,2025-06-14 03:33:29.392487,1.0,0.0,0.78,,1.0,1.0,1.0,1.0
H315,Follow,2009-06-07,M,Appaloosa,,459.0,2.3,60.0,Activo / Resistente,Rutas y Western,19.0,31.0,No,L0,S167,withdrawn,1548021.0,2026-01-02 14:03:11.689470,Jose,Dickson,True,0.0,8.0,False,2024-05-23 04:13:03.321222,2025-07-14 09:24:47.793214,3.0,1.0,0.84,,0.9090909090909091,0.6666666666666667,1.0,0.8303030303030303
H316,Before,2015-12-09,M,Frisón,1.61,638.0,2.6,40.0,Manso / Dispuesto,Tiro y Cine,13.0,118.0,No,L1,S28,active,1501311.0,2025-10-20 16:02:45.909389,Kristine,Dixon,True,1.0,1.0,False,2025-10-17 13:42:58.919894,2026-01-22 22:53:02.070947,1.0,0.0,0.94,,1.0,1.0,0.97,0.994
H317,Not,1996-11-03,F,Pura Raza Española,1.57,501.0,2.4,45.0,Noble / Dócil,Doma y Exhibición,15.0,279.0,No,L2,S86,active,1489462.0,2025-05-23 16:56:05.503923,Betty,Vargas,True,1.0,5.0,False,2023-12-01 06:57:49.954993,2026-02-16 09:15:13.175523,2.0,0.0,0.88,,1.0,1.0,0.97,0.994
H318,Local,1998-01-19,F,Pura Sangre Inglés,1.65,468.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,13.0,15.0,No,L1,S53,sold,1521890.0,2025-08-22 10:17:05.845128,Charles,Cox,True,0.0,4.0,False,2024-06-23 15:02:38.435730,2025-02-27 01:21:41.595814,3.0,0.0,0.8300000000000001,,1.0,1.0,1.0,1.0
H319,History,2000-11-24,M,Frisón,1.69,,2.6,41.0,Manso / Dispuesto,Tiro y Cine,18.0,130.0,Sí,L0,S78,sold,1511863.0,2025-12-19 04:28:36.342733,Ethan,Vaughn,True,0.0,1.0,False,2025-09-25 07:15:45.394233,2025-11-30 19:54:24.940711,2.0,0.0,0.86,,0.9090909090909091,1.0,1.0,0.9636363636363636
H320,West,2019-07-02,F,Appaloosa,1.45,500.0,2.3,55.0,Activo / Resistente,Rutas y Western,11.0,198.0,Desconocido,L4,S116,sold,1489040.0,2026-02-02 17:40:45.440028,Cynthia,Martin,False,0.0,18.0,False,2022-03-10 09:45:38.250601,2025-09-22 14:53:02.492816,1.0,0.0,0.73,,1.0,1.0,0.6,0.92
H321,Economic,2014-01-01,M,Percherón,1.66,820.0,2.8,30.0,Muy calmado,Tiro pesado,10.0,339.0,No,L2,S61,withdrawn,1513112.0,2025-02-24 23:06:19.771449,William,Young,False,0.0,16.0,False,2025-05-21 11:33:02.943089,2025-07-19 07:46:26.391337,3.0,1.0,0.7999999999999999,,1.0,0.6666666666666667,0.6,0.7866666666666667
H322,Natural,1995-07-25,F,Cuarto de Milla,1.51,507.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,15.0,333.0,Sí,L1,S94,active,1505795.0,2025-04-28 01:54:25.804397,Brandon,Johnson,True,0.0,2.0,False,2025-02-16 04:44:40.339160,2025-08-12 14:42:00.998672,1.0,1.0,0.91,,1.0,0.0,1.0,0.6000000000000001
H323,Religious,2008-01-12,F,Árabe,1.46,392.0,2.2,59.0,Inteligente / Leal,Endurance (Raid),21.0,55.0,Desconocido,L0,S95,active,1561294.0,2025-07-11 07:10:01.849669,Steve,Schneider,True,0.0,15.0,False,2024-08-04 16:33:55.231354,2025-03-14 19:43:02.440659,3.0,0.0,0.8266666666666667,,1.0,1.0,1.0,1.0
H324,Like,1995-04-21,F,Pura Sangre Inglés,1.63,454.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,16.0,357.0,Desconocido,L0,S169,withdrawn,1496221.0,2025-10-20 16:02:12.050175,Deborah,Jackson,False,1.0,15.0,False,2024-04-23 19:56:59.642720,2024-12-26 00:59:25.572000,2.0,0.0,0.905,,1.0,1.0,0.5700000000000001,0.914
H325,Use,2013-12-19,M,Appaloosa,1.44,490.0,2.3,55.0,Activo / Resistente,Rutas y Western,10.0,113.0,No,L1,S43,withdrawn,1510539.0,2025-07-21 21:36:17.353011,Victor,Hull,True,0.0,17.0,True,2022-03-12 19:54:34.906465,2023-08-22 21:03:17.524272,3.0,1.0,0.8333333333333334,,1.0,0.6666666666666667,0.7,0.8066666666666668
H326,Few,2017-08-03,M,Frisón,1.66,745.0,2.6,,Manso / Dispuesto,Tiro y Cine,15.0,353.0,Desconocido,L0,S134,active,1492212.0,2025-09-08 05:54:34.599050,Danielle,Kennedy,False,0.0,22.0,False,2024-11-23 21:35:40.697184,2025-08-08 13:26:14.992613,2.0,0.0,0.83,,0.9090909090909091,1.0,0.6,0.8836363636363637
H327,Federal,2003-08-15,M,Pura Raza Española,1.58,544.0,2.4,50.0,Noble / Dócil,Doma y Exhibición,8.0,47.0,No,L2,S159,sold,1506818.0,2025-09-19 23:35:12.525712,Cesar,Johnson,True,0.0,9.0,False,2024-01-05 07:24:34.891401,2024-05-12 02:29:10.047257,1.0,0.0,0.8,,1.0,1.0,1.0,1.0
H328,As,2018-10-25,F,Pura Raza Española,1.52,504.0,2.4,47.0,Noble / Dócil,Doma y Exhibición,11.0,316.0,No,L1,S111,withdrawn,1496181.0,2025-09-30 01:40:40.120423,Cheryl,Leonard,True,1.0,24.0,False,2025-06-23 14:23:35.568815,2025-10-30 05:51:14.186961,1.0,0.0,0.82,,1.0,1.0,0.97,0.994
H329,Response,2012-09-10,F,Shetland (Poni),0.71,167.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,16.0,237.0,No,L1,S182,active,1458458.0,2025-05-26 22:50:40.240935,Cynthia,Fields,True,2.0,11.0,False,2022-09-09 22:22:59.925325,2022-11-14 06:54:15.112957,1.0,0.0,0.85,,1.0,1.0,0.94,0.988
H330,Must,1995-07-01,F,Pura Raza Española,1.54,543.0,2.4,49.0,Noble / Dócil,Doma y Exhibición,18.0,345.0,Sí,L5,S16,active,1526749.0,2025-04-25 05:42:43.299021,Nathaniel,Mann,True,1.0,7.0,False,2025-08-29 11:29:05.384061,2025-12-07 00:18:33.295196,2.0,1.0,0.845,,1.0,0.5,0.97,0.794
H331,Religious,2000-04-29,M,Shetland (Poni),0.99,155.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,15.0,144.0,Sí,L0,S30,withdrawn,1535607.0,2025-04-02 19:53:07.252539,Alexis,Simpson,True,1.0,8.0,False,2022-06-23 20:10:16.626677,2025-01-27 07:38:18.979777,1.0,0.0,0.93,,1.0,1.0,0.97,0.994
H332,We,2007-03-07,F,Árabe,1.41,350.0,2.2,,Inteligente / Leal,Endurance (Raid),14.0,234.0,Sí,L1,S36,active,1446941.0,2025-06-12 20:55:24.375177,Debra,Moon,True,0.0,20.0,False,2025-06-13 10:31:38.134964,2026-02-11 22:21:39.974447,1.0,0.0,0.8,,0.9090909090909091,1.0,1.0,0.9636363636363636
H333,Personal,2011-05-06,M,Akhal-Teke,1.52,448.0,2.3,60.0,Independiente,Resistencia,10.0,292.0,No,L0,S33,sold,1566938.0,2025-07-14 02:05:05.182110,John,Hernandez,True,0.0,23.0,False,2024-11-13 05:53:22.171036,2025-06-04 21:50:51.985956,3.0,0.0,0.8066666666666666,,1.0,1.0,1.0,1.0
H334,Democratic,2004-12-23,M,Frisón,1.64,623.0,2.6,44.0,Manso / Dispuesto,Tiro y Cine,13.0,313.0,No,L1,S48,active,1468560.0,2025-08-18 16:01:23.291276,Michael,Davis,True,0.0,5.0,False,2025-05-25 02:50:41.360546,2026-02-12 21:26:29.805599,3.0,1.0,0.8933333333333332,,1.0,0.6666666666666667,1.0,0.8666666666666667
H335,Soldier,1997-08-14,F,Frisón,1.64,621.0,2.6,45.0,Manso / Dispuesto,Tiro y Cine,17.0,293.0,Desconocido,L6,S49,active,1478017.0,2026-01-20 11:06:34.956391,Kevin,Avila,True,0.0,20.0,False,2025-03-24 18:43:29.918245,2025-12-13 07:59:41.096818,3.0,0.0,0.8833333333333333,,1.0,1.0,1.0,1.0
H336,School,2005-11-08,M,Hannoveriano,1.67,610.0,2.5,50.0,Equilibrado,Salto y Doma,18.0,78.0,Sí,L2,S136,withdrawn,1563124.0,2025-12-31 19:58:18.833884,Kimberly,Davenport,False,0.0,1.0,False,2022-07-30 14:24:06.240389,2024-08-20 15:57:04.412365,1.0,0.0,0.71,,1.0,1.0,0.6,0.92
H337,Guy,2023-10-03,M,Akhal-Teke,1.52,437.0,2.3,60.0,Independiente,Resistencia,12.0,222.0,Sí,L2,S96,withdrawn,1479770.0,2025-07-13 01:06:57.962783,Amanda,Goodman,True,0.0,15.0,False,2025-02-16 02:57:13.119904,2025-08-25 21:40:07.222536,2.0,1.0,0.92,,1.0,0.5,1.0,0.8
H338,Present,2009-04-22,M,Cuarto de Milla,1.54,563.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,19.0,311.0,No,L6,S177,active,1459153.0,2025-09-14 09:38:52.186812,Nathan,Strickland,False,0.0,18.0,False,2024-08-14 15:42:48.278314,2025-05-14 18:52:10.447520,3.0,1.0,0.84,,1.0,0.6666666666666667,0.6,0.7866666666666667
H339,Together,2007-04-03,F,Percherón,1.6,901.0,2.8,27.0,Muy calmado,Tiro pesado,17.0,324.0,Sí,L1,S95,sold,1519994.0,2026-01-16 06:57:28.540671,Steve,Schneider,True,0.0,15.0,False,2024-08-04 16:33:55.231354,2025-03-14 19:43:02.440659,2.0,0.0,0.87,,1.0,1.0,1.0,1.0
H340,Way,2001-03-02,F,Pura Raza Española,1.58,541.0,2.4,49.0,Noble / Dócil,Doma y Exhibición,9.0,76.0,Sí,L0,S81,active,1485179.0,2025-11-30 01:09:58.516473,Gary,Gonzales,True,0.0,20.0,False,2023-03-21 17:57:21.426522,2023-03-26 15:43:25.619161,2.0,0.0,0.7849999999999999,,1.0,1.0,1.0,1.0
H341,Admit,1996-06-28,F,Shetland (Poni),0.83,,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,19.0,170.0,Sí,L3,S153,active,1483455.0,2025-05-07 18:16:43.900642,Rebecca,Mcgee,True,0.0,11.0,False,2025-08-19 20:15:15.430026,2026-01-23 09:18:14.714957,1.0,0.0,0.86,,0.9090909090909091,1.0,1.0,0.9636363636363636
H342,Heavy,2016-01-22,F,Percherón,1.68,,2.8,27.0,Muy calmado,Tiro pesado,17.0,65.0,Desconocido,L2,S109,sold,1523801.0,2025-08-30 17:55:31.440783,Danielle,Barnes,True,0.0,19.0,False,2022-04-12 16:18:55.592054,2023-08-29 10:32:38.893447,3.0,0.0,0.8566666666666668,,0.9090909090909091,1.0,1.0,0.9636363636363636
H343,Or,2006-08-04,M,Hannoveriano,1.67,635.0,2.5,50.0,Equilibrado,Salto y Doma,11.0,20.0,Desconocido,L0,S162,active,1468649.0,2025-08-11 15:02:24.770751,Breanna,Sanders,True,0.0,9.0,False,2025-01-26 20:19:01.134174,2025-06-24 02:20:35.013598,1.0,1.0,0.92,,1.0,0.0,1.0,0.6000000000000001
H344,Year,2019-12-09,F,Percherón,1.76,,2.8,25.0,Muy calmado,Tiro pesado,11.0,216.0,No,L2,S62,active,1510215.0,2025-03-08 17:59:35.164329,Mark,Nelson,True,0.0,3.0,False,2022-04-23 08:22:11.702588,2025-07-09 11:24:12.039828,2.0,0.0,0.76,,0.9090909090909091,1.0,1.0,0.9636363636363636
H345,Really,2005-02-13,F,Árabe,1.47,,2.2,58.0,Inteligente / Leal,Endurance (Raid),14.0,200.0,Sí,L3,S11,active,1516735.0,2025-10-14 06:20:29.852114,Alexis,Kirby,True,0.0,18.0,False,2023-05-21 21:50:38.232193,2023-09-30 04:53:37.864402,1.0,1.0,0.85,,0.9090909090909091,0.0,1.0,0.5636363636363637
H346,Child,2006-12-19,F,Shetland (Poni),0.91,194.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,19.0,221.0,No,L2,S195,active,1457994.0,2025-10-06 07:29:51.344252,Angela,Donovan,True,0.0,1.0,False,2025-10-03 08:17:42.438805,2025-11-26 08:27:53.296736,3.0,1.0,0.84,,1.0,0.6666666666666667,1.0,0.8666666666666667
H347,Raise,2009-08-23,M,Pura Raza Española,1.51,515.0,2.4,50.0,Noble / Dócil,Doma y Exhibición,12.0,,Sí,L2,S157,withdrawn,1484459.0,2025-12-30 15:53:50.186991,Christina,Harrison,True,0.0,20.0,False,2022-02-23 10:42:33.166511,2026-01-31 04:50:36.026518,3.0,0.0,0.87,,0.9090909090909091,1.0,1.0,0.9636363636363636
H348,Section,1997-09-09,F,Shetland (Poni),1.09,171.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,16.0,227.0,Sí,L3,S150,sold,1560655.0,2025-06-26 14:09:53.653056,Ashley,Smith,True,0.0,10.0,False,2022-03-11 09:43:52.810697,2025-07-09 19:40:16.791082,3.0,1.0,0.7999999999999999,,1.0,0.6666666666666667,1.0,0.8666666666666667
H349,Up,2008-05-15,M,Cuarto de Milla,1.49,550.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,16.0,244.0,No,L2,S48,active,1444758.0,2025-11-12 07:10:34.402713,Michael,Davis,True,0.0,5.0,False,2025-05-25 02:50:41.360546,2026-02-12 21:26:29.805599,2.0,0.0,0.775,,1.0,1.0,1.0,1.0
H350,Discussion,2015-12-29,F,Shetland (Poni),1.1,,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,16.0,60.0,Sí,L0,S137,withdrawn,1464430.0,2025-05-22 02:23:07.104828,Jessica,Jackson,True,1.0,23.0,False,2024-10-17 00:42:54.772249,2025-12-30 15:25:06.547789,2.0,0.0,0.7849999999999999,,0.9090909090909091,1.0,0.97,0.9576363636363636
