horse_id,birth_date,h_sex,raza,height_m,weight_kg,length_m,max_speed_kmh,h_temperament,h_category,h_career_races,h_career_top3_rate,h_days_since_last_race,h_linaje,h_birth_country,h_current_country,listing_id,seller_id,l_listing_status,l_asking_price_usd,l_price_vs_market_ratio,l_anomaly_score,l_verified_listing,l_created_at,s_first_name,s_last_name,s_verified,s_disputes,s_success_rate,s_num_listings,s_flagged_fraud,s_created_at,s_last_active_at,vet_total_exams,vet_major_issues,vet_avg_confidence
H197,2009-10-11,F,Hannoveriano,1.69,642.0,2.5,50.0,Equilibrado,Salto y Doma,18,0.32,160.0,Desconocido,,México,L40,S11,sold,1541481,1.7,0.65,False,2025-06-30 08:47:40.234441,Amy,Roach,True,0,0.62,8,False,2024-03-28 00:52:57.631255,2025-07-16 13:16:38.366544,1,0,0.94
H198,2003-02-19,F,Cuarto de Milla,1.55,571.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,16,0.56,100.0,Desconocido,Colombia,Italia,L374,S83,sold,1510741,0.69,0.2,True,2025-03-02 04:48:59.158483,Jason,Levy,False,2,0.73,2,False,2023-12-27 12:43:54.724073,2024-10-09 03:42:19.050084,2,0,0.875
H199,2011-11-18,F,Hannoveriano,1.64,621.0,2.5,50.0,Equilibrado,Salto y Doma,20,0.32,306.0,Sí,España,Turquía,L56,S14,sold,1489930,0.9,0.34,True,2025-10-13 07:04:20.227794,Brittney,Walker,True,0,0.69,22,False,2023-05-04 18:30:40.773938,2025-09-15 03:03:01.968892,2,0,0.72
H200,2003-09-07,M,Pura Sangre Inglés,1.65,462.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,19,0.4,,Sí,México,Brasil,L335,S75,sold,1538339,1.03,0.12,True,2025-08-16 16:00:32.731121,Timothy,Pineda,False,0,0.7,7,False,2023-04-05 00:27:53.389967,2025-05-09 01:55:36.063711,1,0,0.83
H201,2007-02-23,M,Pura Sangre Inglés,1.7,,2.4,71.0,Nervioso / Atlético,Carreras y Salto,20,0.35,298.0,Desconocido,Qatar,Portugal,L420,S91,active,1467303,1.37,0.21,False,2025-07-23 13:34:32.231423,Dylan,Miller,True,0,0.89,15,False,2023-05-09 05:26:19.319377,2025-06-15 12:04:39.212490,2,1,0.735
H202,1998-11-20,M,Pura Raza Española,1.55,,2.4,46.0,Noble / Dócil,Doma y Exhibición,14,0.29,36.0,Sí,Perú,EEUU,L443,S95,withdrawn,1525785,0.68,0.13,True,2025-10-15 07:59:15.717002,Elizabeth,Sanchez,True,0,0.72,1,False,2023-08-04 00:00:06.163686,2026-02-09 00:56:54.502017,1,0,0.81
H203,2004-08-15,M,Árabe,1.45,447.0,2.2,55.0,Inteligente / Leal,Endurance (Raid),10,0.18,229.0,No,Chile,Brasil,L519,S110,sold,1531967,0.69,0.46,True,2025-07-24 12:34:57.435539,Carolyn,Arnold,False,0,0.78,21,False,2023-05-24 03:06:53.206836,2026-02-08 02:52:06.061527,3,1,0.8099999999999999
H204,2016-12-10,M,Percherón,1.71,987.0,2.8,27.0,Muy calmado,Tiro pesado,18,0.67,171.0,No,Australia,EEUU,L174,S37,active,1559943,0.94,0.61,True,2025-12-02 21:31:51.127035,Nancy,Howard,True,0,0.62,25,False,2023-02-02 04:00:14.805463,2025-05-31 08:03:47.445285,2,1,0.865
H205,2004-02-24,M,Pura Sangre Inglés,1.62,472.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,17,0.29,59.0,Sí,,Reino Unido,L281,S62,active,1533879,0.9,0.51,True,2025-04-11 22:15:30.489261,Debbie,Banks,True,0,0.63,6,False,2025-08-30 16:36:57.287398,2025-10-01 04:33:22.627858,1,0,1.0
H206,2019-06-22,F,Cuarto de Milla,1.49,566.0,2.3,,Tranquilo / Sociable,Rodeo y Trabajo,15,0.46,179.0,No,Portugal,Colombia,L648,S135,withdrawn,1476025,1.43,0.7,True,2025-07-03 09:38:10.406376,William,Skinner,True,0,0.94,18,True,2025-10-07 10:16:45.723579,2026-01-17 21:42:28.054972,2,0,0.83
H207,2012-06-20,M,Percherón,1.63,903.0,2.8,25.0,Muy calmado,Tiro pesado,13,0.24,379.0,Desconocido,EEUU,Alemania,L495,S105,active,1514939,1.75,0.07,True,2025-04-24 07:01:10.673370,Jessica,Smith,True,0,0.84,6,False,2022-12-27 19:13:59.197795,2023-05-14 07:50:27.091787,3,1,0.81
H208,2005-09-07,M,Shetland (Poni),0.85,191.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,21,0.58,199.0,Desconocido,Perú,Francia,L691,S144,active,1460760,1.06,0.49,True,2025-02-27 06:16:08.095506,Scott,Cook,False,0,0.93,15,False,2022-03-19 18:14:49.431459,2023-09-21 23:28:44.839191,3,0,0.8733333333333334
H209,2000-10-20,M,Shetland (Poni),0.96,151.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,14,0.13,66.0,No,,España,L858,S174,sold,1552320,1.53,0.19,True,2026-01-02 01:56:52.277817,Michael,Mejia,False,0,0.62,10,False,2024-11-25 22:21:37.717534,2025-01-21 09:34:58.308798,2,0,0.79
H210,2021-01-18,M,Appaloosa,1.44,537.0,2.3,60.0,Activo / Resistente,Rutas y Western,23,0.11,222.0,No,Australia,Perú,L218,S46,active,1516315,0.77,0.25,True,2025-03-11 12:29:35.920814,Deborah,Stephens,True,1,0.79,24,False,2022-09-11 11:37:42.495071,2023-01-29 22:17:35.284249,1,0,0.73
H211,2007-04-12,F,Shetland (Poni),1.03,,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,16,0.41,323.0,Sí,España,España,L206,S43,active,1562729,1.6,0.38,True,2025-12-07 12:26:43.556031,Stuart,Maldonado,True,0,0.68,8,True,2024-10-09 16:20:34.309042,2025-10-24 05:27:16.459543,1,0,0.79
H212,2020-07-18,M,Percherón,1.76,933.0,2.8,26.0,Muy calmado,Tiro pesado,16,0.31,216.0,Sí,Francia,Turquía,L209,S44,active,1461070,0.81,0.91,True,2025-08-28 07:39:19.120862,Melissa,Thompson,True,0,0.62,3,False,2023-03-28 06:35:37.930938,2024-07-19 18:00:51.433522,3,0,0.8366666666666666
H213,1999-09-30,F,Hannoveriano,1.62,600.0,2.5,50.0,Equilibrado,Salto y Doma,16,,63.0,Desconocido,Turquía,Portugal,L86,S20,active,1543498,0.88,0.92,False,2025-02-11 13:17:14.860524,Andrew,Pierce,True,0,0.83,13,False,2023-10-03 05:49:25.091256,2025-06-10 17:49:43.815727,2,0,0.855
H214,2008-04-14,M,Cuarto de Milla,,582.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,22,0.24,158.0,Sí,Francia,España,L749,S156,sold,1463517,1.12,0.27,True,2025-09-19 22:29:18.380866,Jesse,West,True,1,0.79,16,False,2023-02-04 07:34:56.741980,2023-05-10 10:14:06.999948,3,1,0.8233333333333334
H215,2017-05-26,F,Árabe,1.44,436.0,2.2,57.0,Inteligente / Leal,Endurance (Raid),10,0.36,66.0,Sí,Francia,,L455,S97,sold,1525621,1.0,0.8,True,2025-05-15 23:00:31.420849,Natalie,Cooper,True,0,0.72,11,False,2023-09-22 01:15:18.137202,2025-09-12 02:14:37.360227,3,1,0.8833333333333333
H216,2002-08-17,F,Árabe,1.44,,2.2,59.0,Inteligente / Leal,Endurance (Raid),16,0.26,382.0,Sí,Colombia,Reino Unido,L758,S158,withdrawn,1497361,0.74,0.24,True,2025-03-31 06:02:05.401368,Jessica,Roy,True,0,0.63,15,False,2022-10-13 02:28:34.594096,2026-01-28 11:00:44.407050,1,1,0.94
H217,2015-03-07,F,Cuarto de Milla,1.45,549.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,22,0.51,251.0,No,Reino Unido,España,L859,S174,active,1452847,0.85,0.67,True,2025-09-13 19:49:09.980024,Michael,Mejia,False,0,0.62,10,False,2024-11-25 22:21:37.717534,2025-01-21 09:34:58.308798,3,1,0.8533333333333334
H218,2020-05-17,M,Árabe,,425.0,2.2,58.0,Inteligente / Leal,Endurance (Raid),19,0.58,354.0,No,Chile,Argentina,L278,S61,sold,1443973,1.32,0.36,True,2025-08-26 19:11:45.537103,Gregory,Mckee,False,0,0.77,17,False,2024-01-07 06:53:19.797967,2025-09-14 03:19:45.397699,3,0,0.8466666666666667
H219,2018-05-10,M,Shetland (Poni),0.89,181.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,15,0.17,217.0,No,Italia,Perú,L612,S127,active,1485999,1.3,0.7,True,2025-09-09 21:22:01.931443,James,Rodriguez,True,0,0.62,14,False,2023-06-20 20:29:08.543099,2025-04-13 15:35:40.210235,3,0,0.89
H220,2002-09-19,M,Pura Raza Española,1.6,542.0,2.4,47.0,Noble / Dócil,Doma y Exhibición,14,0.41,359.0,No,España,Brasil,L712,S149,active,1534607,1.15,0.8,True,2025-03-09 13:38:42.611364,Jennifer,Russell,True,0,0.89,8,False,2022-06-09 01:41:13.557497,2025-11-29 14:58:08.317133,2,0,0.9
H221,2018-07-07,F,Hannoveriano,1.61,635.0,2.5,50.0,Equilibrado,Salto y Doma,13,0.64,320.0,Sí,Reino Unido,Australia,L168,S36,sold,1503503,0.85,0.72,True,2025-07-12 16:34:27.078942,Daniel,Bryant,True,0,0.8,3,False,2022-09-06 20:52:36.887304,2023-11-14 09:50:07.165832,3,1,0.7966666666666667
H222,2015-03-16,M,Percherón,1.61,925.0,2.8,27.0,Muy calmado,Tiro pesado,14,0.24,149.0,Sí,Arabia Saudita,,L265,S59,active,1433609,0.77,0.82,True,2025-06-20 13:19:09.526886,Valerie,Williams,True,0,0.67,7,False,2023-03-10 17:44:14.638941,2025-09-26 22:23:15.365554,1,0,0.92
H223,2019-11-27,F,Frisón,,746.0,2.6,43.0,Manso / Dispuesto,Tiro y Cine,22,0.15,262.0,No,España,Turquía,L572,S118,active,1545178,1.28,0.86,True,2025-05-03 21:19:19.360642,Jacqueline,Martinez,False,0,0.69,4,False,2022-12-19 10:57:09.225471,2024-01-31 07:40:17.269679,2,0,0.8999999999999999
H224,2022-03-29,F,Pura Sangre Inglés,1.6,485.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,13,0.1,53.0,No,México,Australia,L788,S163,active,1516430,1.54,0.95,True,2025-04-07 06:22:08.945937,Joseph,Nelson,True,1,0.77,25,False,2023-06-30 05:53:04.939659,2024-12-03 12:21:19.079299,3,0,0.7866666666666666
H225,2022-09-29,F,Appaloosa,1.59,496.0,2.3,55.0,Activo / Resistente,Rutas y Western,14,0.59,239.0,Sí,Turquía,Argentina,L291,S65,withdrawn,1529752,1.58,0.63,True,2025-05-07 23:35:47.280179,Jennifer,Sanchez,False,0,0.83,19,False,2025-10-18 02:24:11.064779,2025-11-24 18:18:28.289944,1,0,0.91
H226,2022-02-09,M,Percherón,1.6,890.0,2.8,30.0,Muy calmado,Tiro pesado,14,0.68,156.0,No,Argentina,España,L566,S117,active,1424569,1.43,0.22,True,2026-01-29 02:14:14.434633,Jennifer,Douglas,True,0,0.68,23,False,2025-08-06 14:08:19.676225,2025-09-05 23:18:47.531072,3,0,0.84
H227,2005-05-18,M,Pura Sangre Inglés,1.68,497.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,11,,61.0,Sí,EEUU,EEUU,L292,S65,sold,1504484,0.63,0.57,False,2025-10-14 00:34:02.109684,Jennifer,Sanchez,False,0,0.83,19,False,2025-10-18 02:24:11.064779,2025-11-24 18:18:28.289944,2,0,0.895
H228,2005-08-20,M,Cuarto de Milla,1.49,600.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,14,,180.0,Sí,Brasil,Francia,L833,S170,withdrawn,1557178,1.63,0.09,True,2025-03-14 00:45:19.456246,Melissa,Gaines,True,0,0.67,24,False,2025-07-25 04:57:02.079470,2025-10-25 05:33:01.702658,2,1,0.87
H229,2001-08-18,F,Shetland (Poni),0.88,187.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,13,0.67,75.0,Desconocido,Alemania,Australia,L6,S2,active,1516259,0.83,0.88,True,2025-11-06 04:02:35.053523,Christopher,Mcdonald,False,0,0.75,1,False,2022-06-22 23:35:04.831051,2023-01-14 21:40:00.050236,1,0,0.89
H230,1998-10-29,F,Pura Sangre Inglés,1.68,480.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,16,0.65,97.0,No,Reino Unido,Portugal,L578,S119,active,1452625,1.41,0.89,True,2025-02-18 19:42:30.835506,Kristen,Williams,True,1,0.83,18,False,2023-01-24 21:31:38.353641,2023-11-16 12:40:46.541519,3,0,0.8733333333333334
H231,2014-04-13,F,Cuarto de Milla,1.5,549.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,17,0.35,318.0,Desconocido,Arabia Saudita,Perú,L328,S73,active,1494716,1.64,0.15,True,2025-12-28 14:08:10.362859,Craig,Fields,True,0,0.79,22,False,2024-10-08 19:23:55.415276,2025-01-06 21:30:26.449671,3,1,0.9566666666666667
H232,1996-10-31,F,Frisón,1.68,635.0,2.6,,Manso / Dispuesto,Tiro y Cine,25,0.46,390.0,No,Colombia,EEUU,L850,S173,sold,1594008,0.92,0.05,False,2025-03-14 11:38:51.116591,Barbara,Reese,False,3,0.6,18,False,2024-09-25 02:22:08.692424,2025-08-01 07:01:12.468148,3,1,0.8366666666666666
H233,2013-09-11,F,Hannoveriano,1.67,643.0,2.5,50.0,Equilibrado,Salto y Doma,14,0.18,370.0,No,Reino Unido,Australia,L667,S139,active,1480513,1.06,0.12,True,2025-04-30 11:16:23.887943,Erin,Miles,True,0,0.7,14,False,2025-02-19 08:33:00.095028,2025-10-21 10:16:03.980381,3,0,0.88
H234,2001-05-04,M,Appaloosa,1.55,521.0,2.3,,Activo / Resistente,Rutas y Western,16,0.45,348.0,No,México,Brasil,L195,S40,active,1516818,1.43,0.82,True,2025-06-23 08:04:24.872409,Donna,Estrada,True,1,0.84,23,False,2025-05-02 06:29:22.732399,2025-06-26 14:11:04.847397,3,0,0.8666666666666667
H235,2000-06-23,M,Pura Sangre Inglés,1.64,453.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,18,0.5,109.0,Sí,Reino Unido,México,L74,S18,active,1436461,0.92,0.6,True,2025-08-23 01:08:22.240751,Mark,Powers,True,0,0.61,11,False,2023-09-03 23:46:00.608931,2024-08-19 02:57:21.435452,2,0,0.855
H236,2009-06-23,M,Akhal-Teke,1.57,438.0,2.3,60.0,Independiente,Resistencia,21,0.22,284.0,Sí,Qatar,España,L541,S113,active,1481487,1.68,0.16,True,2025-04-02 20:58:42.960626,Tyrone,Long,True,0,0.81,25,False,2025-03-24 02:15:25.507653,2025-06-25 14:31:23.714282,1,0,0.87
H237,2019-09-29,M,Shetland (Poni),1.0,185.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,11,0.33,268.0,No,,Francia,L406,S88,active,1445105,0.69,0.65,True,2025-06-10 19:36:03.791739,Karen,Gill,True,0,0.87,14,False,2023-05-08 21:25:27.120880,2024-08-12 03:34:44.199939,3,0,0.8166666666666668
H238,2001-01-17,F,Frisón,1.7,613.0,2.6,40.0,Manso / Dispuesto,Tiro y Cine,15,0.55,110.0,No,Qatar,Arabia Saudita,L717,S150,active,1455303,1.32,0.37,True,2026-01-03 20:36:43.701288,Katherine,Perry,True,0,0.9,20,False,2024-10-26 22:28:55.505767,2026-01-03 14:04:25.942920,1,0,0.91
H239,1998-09-16,M,Pura Raza Española,1.58,512.0,2.4,47.0,Noble / Dócil,Doma y Exhibición,8,0.37,,Sí,Reino Unido,Australia,L344,S76,sold,1490443,1.23,0.02,True,2025-03-19 23:28:40.482579,Christopher,Moreno,True,0,0.82,9,False,2023-04-17 07:03:18.524205,2023-04-22 09:24:51.804106,1,0,0.83
H240,2018-09-27,F,Cuarto de Milla,1.46,533.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,14,0.18,306.0,Desconocido,Alemania,Colombia,L789,S163,active,1492527,1.79,0.15,True,2025-03-10 06:00:22.026782,Joseph,Nelson,True,1,0.77,25,False,2023-06-30 05:53:04.939659,2024-12-03 12:21:19.079299,3,0,0.8300000000000001
H241,2006-04-07,M,Percherón,1.63,,2.8,29.0,Muy calmado,Tiro pesado,14,0.13,327.0,No,México,Turquía,L511,S108,active,1530611,1.62,0.06,True,2025-09-05 01:25:17.740937,Anthony,Cunningham,True,1,0.75,7,False,2022-05-10 05:42:47.044089,2023-01-06 20:44:08.774899,3,1,0.9
H242,2001-04-02,M,Shetland (Poni),1.01,170.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,16,0.42,101.0,No,Australia,Reino Unido,L868,S176,sold,1471399,1.6,0.01,False,2025-07-11 17:52:21.757739,James,Merritt,False,3,0.7,16,False,2025-09-08 20:01:08.313477,2025-09-23 02:44:34.567412,2,0,0.735
H243,2009-11-27,F,Frisón,1.61,656.0,2.6,41.0,Manso / Dispuesto,Tiro y Cine,11,0.5,176.0,Sí,EEUU,Australia,L286,S64,withdrawn,1455879,1.06,0.6,True,2025-05-11 18:46:26.830830,James,Sellers,True,1,0.69,20,True,2023-01-20 15:55:36.260327,2023-02-13 06:52:05.204687,1,0,0.83
H244,2019-06-28,M,Percherón,1.62,888.0,2.8,28.0,Muy calmado,Tiro pesado,23,0.24,335.0,No,Arabia Saudita,,L562,S116,withdrawn,1442944,0.74,0.64,True,2025-04-21 14:41:59.125798,Michael,Miller,False,0,0.86,25,False,2023-12-24 15:16:40.029190,2024-05-05 15:30:46.073660,1,0,0.8
H245,1998-10-10,M,Pura Raza Española,1.54,534.0,2.4,50.0,Noble / Dócil,Doma y Exhibición,12,0.27,271.0,Desconocido,Argentina,Australia,L345,S77,withdrawn,1557206,0.67,0.37,True,2025-10-27 20:11:39.731522,Diane,Robinson,True,1,0.92,2,False,2025-08-03 16:04:14.375025,2025-08-22 00:34:18.686065,3,2,0.8566666666666668
H246,2002-09-02,M,Appaloosa,1.46,533.0,2.3,56.0,Activo / Resistente,Rutas y Western,14,0.29,49.0,Desconocido,Reino Unido,Alemania,L232,S50,active,1532413,1.39,0.37,True,2025-10-03 19:13:51.326622,Lauren,Ponce,True,1,0.63,13,False,2023-06-20 19:23:33.537764,2024-02-13 03:46:30.396336,2,1,0.77
H247,2013-04-18,M,Cuarto de Milla,1.57,554.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,10,0.6,112.0,No,Brasil,Italia,L464,S98,active,1565357,1.65,0.79,False,2026-01-30 22:02:20.067528,Jennifer,Thomas,True,1,0.64,19,False,2024-06-26 18:37:50.545681,2024-06-27 02:36:27.689524,2,2,0.74
H248,2002-03-13,F,Árabe,1.4,359.0,2.2,55.0,Inteligente / Leal,Endurance (Raid),17,0.21,135.0,No,Arabia Saudita,Perú,L593,S123,active,1449795,0.77,0.07,True,2025-12-11 19:55:56.305210,Kenneth,Rodriguez,True,1,0.82,25,False,2024-10-27 02:24:05.504049,2025-05-06 01:28:58.278344,3,1,0.88
H249,1995-08-13,F,Frisón,1.64,604.0,2.6,43.0,Manso / Dispuesto,Tiro y Cine,11,0.5,280.0,Sí,Italia,Francia,L124,S27,active,1544463,1.49,0.7,False,2025-10-02 06:47:09.811532,Olivia,Walsh,True,0,0.93,22,False,2025-03-09 04:02:26.207481,2025-04-16 11:42:23.251538,3,0,0.7366666666666667
H250,2017-09-08,M,Cuarto de Milla,1.46,587.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,17,0.28,51.0,Sí,Qatar,Chile,L270,S60,active,1473277,1.41,0.76,False,2025-09-10 00:32:20.124587,Alyssa,Bryant,True,0,0.79,24,False,2023-01-21 16:07:36.302324,2025-08-17 11:05:55.087385,2,0,0.85
H251,2001-01-16,F,Frisón,,656.0,2.6,41.0,Manso / Dispuesto,Tiro y Cine,11,0.55,286.0,Sí,Portugal,México,L456,S97,sold,1451947,1.09,0.34,True,2025-03-10 15:30:54.045917,Natalie,Cooper,True,0,0.72,11,False,2023-09-22 01:15:18.137202,2025-09-12 02:14:37.360227,2,0,0.74
H252,2000-05-07,M,Pura Raza Española,,500.0,2.4,49.0,Noble / Dócil,Doma y Exhibición,12,0.46,282.0,No,Italia,México,L699,S146,active,1449944,0.97,0.52,True,2025-10-25 19:10:09.200496,Caleb,Anderson,True,0,0.87,6,False,2025-03-15 09:38:26.253205,2025-10-16 19:18:58.112675,2,2,0.825
H253,2001-04-27,F,Hannoveriano,1.62,641.0,2.5,50.0,Equilibrado,Salto y Doma,12,0.61,79.0,Sí,,Perú,L421,S91,active,1475617,1.38,0.3,True,2025-10-28 18:47:35.464668,Dylan,Miller,True,0,0.89,15,False,2023-05-09 05:26:19.319377,2025-06-15 12:04:39.212490,1,0,0.72
H254,2017-02-02,M,Hannoveriano,1.69,635.0,2.5,50.0,Equilibrado,Salto y Doma,14,0.38,288.0,Sí,Italia,Perú,L704,S147,sold,1497792,0.81,0.12,True,2026-01-14 23:34:30.656412,Robert,Mendoza,False,0,0.61,10,False,2023-02-03 07:35:50.763686,2025-06-04 19:56:29.632586,3,1,0.7166666666666667
H255,1995-09-10,F,Cuarto de Milla,1.59,545.0,2.3,70.0,Tranquilo / Sociable,Rodeo y Trabajo,11,0.18,342.0,Sí,México,Italia,L336,S75,sold,1456143,1.24,0.73,True,2025-12-14 20:12:56.353883,Timothy,Pineda,False,0,0.7,7,False,2023-04-05 00:27:53.389967,2025-05-09 01:55:36.063711,3,0,0.87
H256,1997-04-30,F,Hannoveriano,1.63,642.0,2.5,50.0,Equilibrado,Salto y Doma,21,0.28,306.0,Sí,Argentina,Colombia,L880,S179,active,1485053,1.13,0.13,True,2025-09-10 07:01:31.921656,Jessica,Rogers,False,0,0.65,19,False,2023-07-01 17:05:47.963140,2025-11-03 17:45:46.303061,2,0,0.86
H257,2004-12-04,F,Frisón,1.62,656.0,2.6,45.0,Manso / Dispuesto,Tiro y Cine,8,0.54,230.0,Sí,Argentina,Portugal,L337,S75,active,1533529,1.32,0.76,True,2025-09-20 07:45:47.884008,Timothy,Pineda,False,0,0.7,7,False,2023-04-05 00:27:53.389967,2025-05-09 01:55:36.063711,3,0,0.8066666666666666
H258,2005-06-12,F,Pura Raza Española,1.54,519.0,2.4,48.0,Noble / Dócil,Doma y Exhibición,16,,96.0,No,Italia,Perú,L15,S5,active,1492423,1.3,0.37,True,2025-08-09 23:11:02.546009,Hannah,Lee,True,1,0.9,25,False,2022-08-12 21:51:50.532880,2023-09-18 05:42:05.008200,2,0,0.87
H259,2000-02-08,F,Árabe,1.47,,2.2,55.0,Inteligente / Leal,Endurance (Raid),13,0.54,16.0,Desconocido,Alemania,Chile,L819,S168,sold,1551463,1.54,0.47,False,2025-06-03 09:02:02.611834,Samantha,Brown,True,0,0.71,8,False,2025-07-15 09:05:07.219568,2025-08-12 00:29:48.354565,2,0,0.805
H260,2005-07-25,M,Shetland (Poni),0.92,184.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,14,0.64,283.0,No,Portugal,Argentina,L471,S101,active,1506366,0.81,0.2,False,2025-08-07 03:45:01.471666,Tyler,Miller,False,0,0.75,22,False,2025-10-04 07:12:47.333062,2025-12-29 00:29:35.348266,1,1,0.99
H261,2021-05-22,F,Frisón,1.61,728.0,2.6,44.0,Manso / Dispuesto,Tiro y Cine,12,0.15,193.0,No,Arabia Saudita,Reino Unido,L311,S70,active,1406773,1.8,0.44,False,2025-11-05 00:48:07.833956,Mark,Green,True,0,0.69,12,False,2022-10-01 20:52:16.910096,2024-05-01 11:36:18.990246,2,0,0.925
H262,1998-02-20,M,Appaloosa,1.44,522.0,2.3,60.0,Activo / Resistente,Rutas y Western,14,0.62,81.0,No,Turquía,Argentina,L7,S2,active,1436815,1.44,0.26,True,2025-05-14 10:59:37.678043,Christopher,Mcdonald,False,0,0.75,1,False,2022-06-22 23:35:04.831051,2023-01-14 21:40:00.050236,3,0,0.8333333333333334
H263,2014-02-22,F,Pura Sangre Inglés,1.62,466.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,14,0.32,28.0,No,Australia,Argentina,L692,S144,withdrawn,1539650,0.71,0.25,True,2025-09-15 00:19:36.948601,Scott,Cook,False,0,0.93,15,False,2022-03-19 18:14:49.431459,2023-09-21 23:28:44.839191,2,0,0.8600000000000001
H264,2012-07-16,F,Frisón,1.69,610.0,2.6,45.0,Manso / Dispuesto,Tiro y Cine,23,0.29,367.0,Desconocido,Perú,Perú,L863,S175,withdrawn,1486544,1.09,0.19,True,2025-09-12 09:13:30.454165,John,Smith,False,1,0.9,16,False,2022-02-22 11:38:19.336364,2025-01-04 18:14:50.135012,2,0,0.865
H265,2012-09-24,M,Shetland (Poni),0.85,174.0,1.5,20.0,Testarudo / Fuerte,Niños y Compañía,15,0.32,341.0,Desconocido,Italia,Australia,L976,S199,active,1564930,1.2,0.18,True,2025-09-05 02:30:30.599500,Carol,Anderson,False,0,0.78,15,False,2022-05-15 05:00:06.364704,2024-02-04 12:10:21.273618,2,0,0.88
H266,2001-10-30,M,Akhal-Teke,1.55,442.0,2.3,60.0,Independiente,Resistencia,19,0.59,183.0,No,Turquía,Alemania,L922,S190,active,1524337,1.6,0.45,True,2026-01-22 13:42:18.250726,Christopher,Flowers,True,0,0.67,4,False,2023-01-17 20:12:13.895604,2023-06-26 07:43:13.623024,1,0,0.93
H267,2022-11-19,M,Appaloosa,1.45,515.0,2.3,60.0,Activo / Resistente,Rutas y Western,15,,83.0,Sí,Argentina,España,L45,S12,active,1542101,1.42,0.1,True,2025-11-27 16:17:36.378143,Jennifer,Turner,True,0,0.9,4,False,2024-06-27 08:04:45.230112,2025-06-09 00:31:14.152460,2,0,0.8200000000000001
H268,2022-08-08,F,Hannoveriano,1.67,630.0,2.5,50.0,Equilibrado,Salto y Doma,12,0.51,252.0,Sí,Reino Unido,Brasil,L744,S155,active,1491330,1.68,0.62,True,2025-04-13 21:57:13.514201,Michael,Gregory,True,0,0.86,21,False,2025-07-04 15:27:14.667475,2025-08-18 18:57:54.723197,1,0,0.71
H269,1997-06-28,M,Pura Sangre Inglés,1.66,460.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,15,0.18,269.0,Sí,Portugal,Francia,L923,S190,sold,1528572,1.71,0.8,True,2025-03-03 04:27:36.698445,Christopher,Flowers,True,0,0.67,4,False,2023-01-17 20:12:13.895604,2023-06-26 07:43:13.623024,3,0,0.8633333333333333
H270,2010-08-07,M,Árabe,1.45,401.0,2.2,59.0,Inteligente / Leal,Endurance (Raid),12,0.68,333.0,Sí,México,Italia,L613,S127,withdrawn,1460158,0.95,0.16,True,2025-06-17 08:25:11.266053,James,Rodriguez,True,0,0.62,14,False,2023-06-20 20:29:08.543099,2025-04-13 15:35:40.210235,2,1,0.8700000000000001
H271,2014-01-23,F,Hannoveriano,1.69,610.0,2.5,50.0,Equilibrado,Salto y Doma,21,0.23,217.0,No,Reino Unido,Australia,L329,S73,active,1507070,1.46,0.57,True,2025-11-07 01:20:20.503640,Craig,Fields,True,0,0.79,22,False,2024-10-08 19:23:55.415276,2025-01-06 21:30:26.449671,3,1,0.8733333333333334
H272,2004-06-09,F,Akhal-Teke,1.59,458.0,2.3,60.0,Independiente,Resistencia,16,0.45,124.0,Sí,Portugal,España,L971,S198,active,1484154,1.41,0.34,True,2026-02-01 13:21:13.257028,Kendra,Krueger,True,0,0.69,2,False,2025-05-25 18:37:06.319096,2025-10-07 23:58:33.886052,3,0,0.91
H273,2017-01-22,F,Pura Sangre Inglés,1.68,488.0,2.4,71.0,Nervioso / Atlético,Carreras y Salto,16,0.16,250.0,Desconocido,Francia,Australia,L261,S58,withdrawn,1513199,0.96,0.9,True,2025-04-04 00:00:44.321317,Seth,Lopez,True,1,0.86,18,False,2022-05-23 06:07:26.878956,2022-06-10 00:06:24.760518,3,0,0.77
